timestamp,uuid,site,fixed_detected,event_type,sn
2024-12-07 14:33:42_492,c5e9ebb3-d014-4865-b374-592c2c538524,site_6,detected,service changed,capwap
2024-12-07 14:33:42_493,2909d467-d924-472e-997a-61cdb255dcc1,site_6,detected,service changed,ipdr
2024-12-07 14:33:56_767,c5e9ebb3-d014-4865-b374-592c2c538524,site_6,fixed,service changed,capwap
2024-12-07 14:33:57_773,2909d467-d924-472e-997a-61cdb255dcc1,site_6,fixed,service changed,ipdr
2024-12-07 14:34:58_001,c5dcb1a1-e7b8-478f-a660-fbdf951f74de,site_7,fixed,snmp_profile,WEDLT70M7OZIMZV5
2024-12-07 14:35:05_486,2e881281-bf71-4ea1-aea9-e5d0dcb32c10,site_1,detected,service changed,snmp
2024-12-07 14:35:05_486,900102d8-2f78-416b-8ba0-b548f7d027e7,site_1,detected,service changed,sshv6
2024-12-07 14:35:12_074,ea38e66b-1720-4b49-9123-d550acfb2531,site_7,fixed,unregistered,RBQQLRUTJ1SV96ZX
2024-12-07 14:35:22_109,2e881281-bf71-4ea1-aea9-e5d0dcb32c10,site_1,fixed,service changed,snmp
2024-12-07 14:35:23_111,900102d8-2f78-416b-8ba0-b548f7d027e7,site_1,fixed,service changed,sshv6
2024-12-07 14:35:33_139,9843a700-4eb3-442b-b684-543ec6eb1cdb,site_7,fixed,gemport,15FOFS277V2PN76Z
2024-12-07 14:35:37_147,b146ee18-5670-4f64-9b2a-15fe91d713ad,site_7,fixed,s_vlan,DB2DFWDL1CDZZOF0
2024-12-07 14:35:41_153,e685e6ed-2eac-4165-afaa-32c009e6b2ce,site_7,fixed,c_vlan,HOEQ8O9SUMPE80JN
2024-12-07 14:35:47_417,5e6b1530-098a-4288-8b6e-b701dfd11f75,site_3,detected,service changed,portal
2024-12-07 14:35:53_052,ed08c943-bd03-4dc6-90a3-c82f9622acd4,site_7,detected,unregistered,L1G2ITV851O5KXWI
2024-12-07 14:35:53_080,8481614a-e417-497f-9499-aa27fc3bb4af,site_7,detected,s_vlan,GS2FSDE95YY3I2EQ
2024-12-07 14:35:53_092,a5c1961d-ac02-4163-8d82-f8f24b66f9ef,site_7,detected,vlan_type,EBDFEQGT3FA5B6QG
2024-12-07 14:35:53_103,ba43bb5f-974b-4d58-8328-1a718d5b4037,site_7,detected,snmp_profile,EVJCGOKASVBO85S7
2024-12-07 14:35:54_224,d456f42c-b1f9-4b02-b4bb-c49a298f6388,site_4,detected,service changed,netconf
2024-12-07 14:35:54_224,1046c269-5077-4d9d-bf84-5cd7be1bab3c,site_4,detected,service changed,ntp
2024-12-07 14:35:54_224,b8a66a78-d083-40c1-bf2c-b8504b173020,site_4,detected,service changed,sftp-client
2024-12-07 14:35:54_224,3bb2acb9-a611-455c-bdff-2fe0004bf62a,site_4,detected,service changed,web-proxy
2024-12-07 14:35:56_411,c8b36abc-c324-41bd-8b70-ed4db993cc2a,site_7,detected,service changed,ftp-client
2024-12-07 14:35:56_411,f846ef66-8cac-4ce0-a5b6-e2886456cbaf,site_7,detected,service changed,ntp6
2024-12-07 14:35:56_411,75f1d9e1-f677-40c8-a92e-3a2746346c5a,site_7,detected,service changed,ssh
2024-12-07 14:35:56_411,d28191f1-af77-4e5b-b6d2-fcd2e75d67e1,site_7,detected,service changed,twamp
2024-12-07 14:36:04_263,5e6b1530-098a-4288-8b6e-b701dfd11f75,site_3,fixed,service changed,portal
2024-12-07 14:36:11_336,d456f42c-b1f9-4b02-b4bb-c49a298f6388,site_4,fixed,service changed,netconf
2024-12-07 14:36:11_342,b8a66a78-d083-40c1-bf2c-b8504b173020,site_4,fixed,service changed,sftp-client
2024-12-07 14:36:11_343,c8b36abc-c324-41bd-8b70-ed4db993cc2a,site_7,fixed,service changed,ftp-client
2024-12-07 14:36:11_345,75f1d9e1-f677-40c8-a92e-3a2746346c5a,site_7,fixed,service changed,ssh
2024-12-07 14:36:12_348,1046c269-5077-4d9d-bf84-5cd7be1bab3c,site_4,fixed,service changed,ntp
2024-12-07 14:36:12_349,f846ef66-8cac-4ce0-a5b6-e2886456cbaf,site_7,fixed,service changed,ntp6
2024-12-07 14:36:13_352,3bb2acb9-a611-455c-bdff-2fe0004bf62a,site_4,fixed,service changed,web-proxy
2024-12-07 14:36:14_355,d28191f1-af77-4e5b-b6d2-fcd2e75d67e1,site_7,fixed,service changed,twamp
2024-12-07 14:36:39_503,cac4c6ee-60a2-49c9-88c6-39a3419646a4,site_5,detected,service changed,radius
2024-12-07 14:36:39_503,f25cbc66-3d08-43f3-85fc-452b80335eeb,site_5,detected,service changed,web-proxy
2024-12-07 14:36:54_208,d3b32ade-345b-46bc-b44f-46981c359935,site_2,detected,service changed,dhcpv6-relay
2024-12-07 14:36:54_208,1bc49b65-4eb0-46ae-9445-c547b0174b2a,site_2,detected,service changed,sftp-client
2024-12-07 14:36:54_208,2bc9b0b1-741d-460e-aff5-ad2a3cb1d939,site_2,detected,service changed,snmpv6
2024-12-07 14:36:54_208,b4b1429c-06ea-4dc0-8830-a358a3c5e935,site_2,detected,service changed,ssh
2024-12-07 14:36:54_208,1cf34486-837f-4f5c-b105-f35772a90e73,site_2,detected,service changed,sshv6
2024-12-07 14:36:56_522,cac4c6ee-60a2-49c9-88c6-39a3419646a4,site_5,fixed,service changed,radius
2024-12-07 14:36:57_529,f25cbc66-3d08-43f3-85fc-452b80335eeb,site_5,fixed,service changed,web-proxy
2024-12-07 14:36:59_543,8481614a-e417-497f-9499-aa27fc3bb4af,site_7,fixed,s_vlan,GS2FSDE95YY3I2EQ
2024-12-07 14:37:09_592,d3b32ade-345b-46bc-b44f-46981c359935,site_2,fixed,service changed,dhcpv6-relay
2024-12-07 14:37:09_592,2bc9b0b1-741d-460e-aff5-ad2a3cb1d939,site_2,fixed,service changed,snmpv6
2024-12-07 14:37:09_594,1cf34486-837f-4f5c-b105-f35772a90e73,site_2,fixed,service changed,sshv6
2024-12-07 14:37:10_596,1bc49b65-4eb0-46ae-9445-c547b0174b2a,site_2,fixed,service changed,sftp-client
2024-12-07 14:37:11_600,b4b1429c-06ea-4dc0-8830-a358a3c5e935,site_2,fixed,service changed,ssh
2024-12-07 14:37:26_639,ba43bb5f-974b-4d58-8328-1a718d5b4037,site_7,fixed,snmp_profile,EVJCGOKASVBO85S7
2024-12-07 14:37:35_655,ed08c943-bd03-4dc6-90a3-c82f9622acd4,site_7,fixed,unregistered,L1G2ITV851O5KXWI
2024-12-07 14:37:39_660,a5c1961d-ac02-4163-8d82-f8f24b66f9ef,site_7,fixed,vlan_type,EBDFEQGT3FA5B6QG
2024-12-07 14:38:02_032,3ed4a218-70d9-41a0-99ca-ac6d62a77401,site_7,detected,unregistered,0076KR8S77FO53P5
2024-12-07 14:38:02_033,9fafce2a-402f-41d0-b6bd-924d0b13b45e,site_7,detected,unregistered,15FOFS277V2PN76Z
2024-12-07 14:38:02_064,87e4590c-4143-49bf-b67f-6319509871a3,site_7,detected,s_vlan,ZK0MG8FQWMPKCZNI
2024-12-07 14:38:02_088,31b994e6-19c4-490d-9d7b-4a1389a3c7ca,site_7,detected,snmp_profile,CDTA129BFJI4ZO04
2024-12-07 14:38:02_089,30b81753-6dc8-4f54-ab77-bfc7ac6d13ad,site_7,detected,snmp_profile,R17W7TELMHSMJUFT
2024-12-07 14:38:02_866,bd14480f-983f-4d4c-a794-3a991dc50aa6,site_6,detected,service changed,dhcpv6-relay
2024-12-07 14:38:02_866,9ded6bdf-0013-426d-89c3-a99be6f295a8,site_6,detected,service changed,netconf
2024-12-07 14:38:02_866,05b840bb-3591-4629-8ae2-36eb2a0ab32c,site_6,detected,service changed,radius
2024-12-07 14:38:05_472,e63191cc-923b-4459-855a-9d476a44eca3,site_7,detected,service changed,ftp-client
2024-12-07 14:38:05_472,fb1a8d86-5a7d-4f91-9aae-515ad1fed639,site_7,detected,service changed,ssh
2024-12-07 14:38:19_780,bd14480f-983f-4d4c-a794-3a991dc50aa6,site_6,fixed,service changed,dhcpv6-relay
2024-12-07 14:38:19_781,e63191cc-923b-4459-855a-9d476a44eca3,site_7,fixed,service changed,ftp-client
2024-12-07 14:38:20_785,9ded6bdf-0013-426d-89c3-a99be6f295a8,site_6,fixed,service changed,netconf
2024-12-07 14:38:20_785,fb1a8d86-5a7d-4f91-9aae-515ad1fed639,site_7,fixed,service changed,ssh
2024-12-07 14:38:21_790,05b840bb-3591-4629-8ae2-36eb2a0ab32c,site_6,fixed,service changed,radius
